feature,importance
morgan_267,15.0
morgan_1620,15.0
morgan_358,15.0
morgan_1476,15.0
morgan_1234,14.8
morgan_477,14.8
morgan_1642,14.8
morgan_92,14.8
morgan_524,14.8
morgan_1829,14.6
morgan_343,14.400000000000002
morgan_34,14.4
morgan_1507,14.4
morgan_941,14.4
morgan_932,14.200000000000001
morgan_1375,14.200000000000001
morgan_1263,14.200000000000001
morgan_898,14.200000000000001
morgan_486,14.2
morgan_1436,14.2
morgan_286,14.0
morgan_833,14.0
morgan_9,14.0
morgan_1827,14.0
morgan_997,13.8
morgan_699,13.8
morgan_1949,13.600000000000001
morgan_1664,13.600000000000001
morgan_528,13.6
morgan_142,13.6
morgan_1786,13.6
morgan_1091,13.6
morgan_742,13.4
morgan_2022,13.399999999999999
morgan_693,13.200000000000001
morgan_160,13.2
morgan_197,13.2
morgan_1958,13.2
morgan_1431,13.2
morgan_550,13.2
morgan_164,13.2
morgan_242,13.0
morgan_297,13.0
morgan_1893,13.0
morgan_781,13.0
morgan_614,13.0
morgan_207,12.999999999999998
morgan_89,12.8
morgan_1185,12.8
morgan_1233,12.8
morgan_1177,12.600000000000001
morgan_241,12.600000000000001
morgan_434,12.6
morgan_1544,12.6
morgan_237,12.6
morgan_1745,12.400000000000002
morgan_90,12.4
morgan_1626,12.4
morgan_1330,12.4
morgan_72,12.4
morgan_1259,12.200000000000001
morgan_115,12.2
morgan_1517,12.2
morgan_1671,12.0
morgan_643,12.0
morgan_2005,12.0
morgan_802,12.0
morgan_753,12.0
morgan_250,11.8
morgan_1656,11.8
morgan_1923,11.8
morgan_665,11.8
morgan_960,11.8
morgan_1362,11.8
morgan_2016,11.799999999999999
morgan_1481,11.600000000000001
morgan_900,11.600000000000001
morgan_1623,11.600000000000001
morgan_783,11.6
morgan_837,11.6
morgan_848,11.6
morgan_238,11.400000000000002
morgan_1549,11.4
morgan_2041,11.4
morgan_1308,11.4
morgan_1418,11.4
morgan_1126,11.4
morgan_1148,11.4
morgan_1097,11.399999999999999
morgan_118,11.200000000000001
morgan_1332,11.2
morgan_616,11.2
morgan_610,11.2
morgan_1985,11.2
morgan_1863,11.2
morgan_470,11.0
morgan_1854,11.0
morgan_702,11.0
morgan_345,10.8
morgan_709,10.8
morgan_755,10.8
morgan_1982,10.799999999999999
morgan_1275,10.600000000000001
morgan_779,10.600000000000001
morgan_221,10.600000000000001
morgan_1588,10.600000000000001
morgan_193,10.600000000000001
morgan_163,10.600000000000001
morgan_273,10.6
morgan_758,10.6
morgan_148,10.6
morgan_1891,10.6
morgan_879,10.4
morgan_1978,10.4
morgan_1207,10.4
morgan_1730,10.4
morgan_1426,10.399999999999999
morgan_981,10.399999999999999
morgan_595,10.399999999999999
morgan_21,10.200000000000001
morgan_507,10.2
morgan_1215,10.2
morgan_873,10.2
morgan_1249,10.2
morgan_1360,10.2
morgan_332,10.0
morgan_724,10.0
morgan_447,10.0
morgan_1068,10.0
morgan_690,10.0
morgan_1381,10.0
morgan_310,10.0
morgan_227,10.0
morgan_812,10.0
morgan_899,9.8
morgan_1200,9.8
morgan_1967,9.799999999999999
morgan_652,9.799999999999999
morgan_1026,9.600000000000001
morgan_1858,9.6
morgan_1512,9.6
morgan_722,9.6
morgan_1401,9.4
